"REF_DATE","GEO","DGUID","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988","Ontario","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457940","7.2.2","94.4","","","","1"
"1988","Ontario","","Females","Total number of police officers","Number","223","units ","0","v19457941","7.3.1","1098","","","","0"
"1988","Ontario","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457942","7.3.2","5.6","","","","1"
"1988","Manitoba","","Both sexes","Total number of police officers","Number","223","units ","0","v19457943","8.1.1","2071","","","","0"
"1988","Manitoba","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457944","8.1.2","100","","","","0"
"1988","Manitoba","","Males","Total number of police officers","Number","223","units ","0","v19457945","8.2.1","1956","","","","0"
"1988","Manitoba","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457946","8.2.2","94.4","","","","1"
"1988","Manitoba","","Females","Total number of police officers","Number","223","units ","0","v19457947","8.3.1","115","","","","0"
"1988","Manitoba","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457948","8.3.2","5.6","","","","1"
"1988","Saskatchewan","","Both sexes","Total number of police officers","Number","223","units ","0","v19457949","9.1.1","1929","","","","0"
"1988","Saskatchewan","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457950","9.1.2","100","","","","0"
"1988","Saskatchewan","","Males","Total number of police officers","Number","223","units ","0","v19457951","9.2.1","1816","","","","0"
"1988","Saskatchewan","","Males","Percentage of total police officers","Percentage","242","units ","0","v19457952","9.2.2","94.1","","","","1"
"1988","Saskatchewan","","Females","Total number of police officers","Number","223","units ","0","v19457953","9.3.1","113","","","","0"
"1988","Saskatchewan","","Females","Percentage of total police officers","Percentage","242","units ","0","v19457954","9.3.2","5.9","","","","1"
"1988","Alberta","","Both sexes","Total number of police officers","Number","223","units ","0","v19457955","10.1.1","4205","","","","0"
"1988","Alberta","","Both sexes","Percentage of total police officers","Percentage","242","units ","0","v19457956","10.1.2","100","","","","0"
"1988","Alberta","","Males","Total number of police officers","Number","223","units ","0","v19457957","10.2.1","3989","","","","0"
